organ,col name,mean,min,max,std,range
Esophagus,Max_sqrt(grad(Dose)*Dose)_2,3.705020577036437,0.762095895,10.99936642,2.1488600036864645,10.237270525
Esophagus,Max2_Dose,8.506350421316457,1.31549098,30.71341743,5.5382651760732164,29.39792645
Esophagus,Max_sqrt(grad(Dose)*Dose)_3,3.6459819607679687,0.757923226,10.9657886,2.117151143016874,10.207865374
Esophagus,Max3_Dose,8.433684184890296,1.2021627,28.39971501,5.392071292305679,27.197552310000003
Esophagus,Max_sqrt(grad(Dose)*Dose)_4,3.588861551528075,0.752133348,10.90098603,2.082592248236153,10.148852682000001
Esophagus,Max4_Dose,8.355420789489452,1.33656028,29.82928422,5.3538323904224745,28.49272394
Esophagus,Max_sqrt(grad(Dose)*Dose)_5,3.5458447805457673,0.727818701,10.2714469,2.0558850257313126,9.543628199
Esophagus,Max5_Dose,8.45906906729536,1.26786558,27.95378595,5.40253057226478,26.68592037
Esophagus,V1.0 dosevol,11.800875,1.75,34.71875,5.217581236510683,32.96875
Esophagus,V1.0 dosevol/volume,0.5295162651011844,0.043276662,0.954041204,0.16651736046388774,0.910764542
Esophagus,V2.0 dosevol,9.0381875,0.0,24.90625,4.511663947503966,24.90625
Esophagus,V2.0 dosevol/volume,0.41141178702350634,0.0,0.812995246,0.16667094376135383,0.812995246
Esophagus,V5.0 dosevol,3.7896875,0.0,14.3125,3.3734962700613322,14.3125
Esophagus,V5.0 dosevol/volume,0.18427046222202823,0.0,0.656578947,0.16322109996137982,0.656578947
Esophagus,V10.0 dosevol,1.2766875,0.0,9.515625,2.194372917294797,9.515625
Esophagus,V10.0 dosevol/volume,0.066887081252,0.0,0.504774898,0.11579630221858035,0.504774898
Esophagus,V15.0 dosevol,0.4663125,0.0,9.15625,1.4889612606863043,9.15625
Esophagus,V15.0 dosevol/volume,0.021563570972000002,0.0,0.326048435,0.06085964740930409,0.326048435
Esophagus,V20.0 dosevol,0.22525,0.0,8.296875,1.1488209795032414,8.296875
Esophagus,V20.0 dosevol/volume,0.008867750732,0.0,0.300649734,0.04268592977323849,0.300649734
Esophagus,Arm,nan,nan,nan,nan,nan
Esophagus,arm,1.516,1,2,0.5007464307928786,1
Esophagus,Arm ,nan,nan,nan,nan,nan
Esophagus,V50.0 dosevol,nan,nan,nan,nan,nan
Esophagus,V50.0 dosevol/volume,nan,nan,nan,nan,nan
Esophagus,V55.0 dosevol,nan,nan,nan,nan,nan
Esophagus,V55.0 dosevol/volume,nan,nan,nan,nan,nan
Esophagus,V60.0 dosevol,nan,nan,nan,nan,nan
Esophagus,V60.0 dosevol/volume,nan,nan,nan,nan,nan
Esophagus,V65.0 dosevol,nan,nan,nan,nan,nan
Esophagus,V65.0 dosevol/volume,nan,nan,nan,nan,nan
Esophagus,V70.0 dosevol,nan,nan,nan,nan,nan
Esophagus,V70.0 dosevol/volume,nan,nan,nan,nan,nan
Esophagus,V75.0 dosevol,nan,nan,nan,nan,nan
Esophagus,V75.0 dosevol/volume,nan,nan,nan,nan,nan
Heart,MinDose,0.12294938869200002,0.0,0.51243847,0.08586450412595135,0.51243847
Heart,MaxDose,13.178089025196002,0.0,50.00866038,11.50277387288741,50.00866038
Heart,MeanDose,1.6873067264351163,0.0,5.526450597,1.3763695521886945,5.526450597
Heart,TotalVolume (cm^3),572.12875,0.0,1258.421875,276.90234731044467,1258.421875
Heart,IntegralDose,1161.4831322031312,0.0,3701.32829,1062.7925522508917,3701.32829
Heart,VolumeOverlap,195.47712320574163,0.0,540.9375,160.20880222161617,540.9375
